Name,ID,Class,Race,STR,DEX,CON,INT,WIS,CHA,Age,Alignment,Seat,Backstory
Bruenor,1,Fighter,Shield Dwarf,15,10,14,8,13,12,252,Neutral Good,1,"Hailing from the Spine of the World, Bruenor is the leader of Clan Battlehammer. He is close friends with the celebrated drow Drizzt Do'Urden and the halfling Regis. Rounding out the 'Companions of the Hall' are his two adopted human children: Catti-Brie and Wulfgar."
Celeste,2,Cleric,Human,14,8,13,12,15,10,36,Lawful Good,2,"It was only when Valindra Shadowmantle's undead horde was clawing at her door that the god Selûne came to Celeste. A wave of divine energy burst out from Celeste, annihilating the skeletons and zombies, leaving her unconscious. When she came to, she understood. She needed to assemble those who were dedicated to fighting evil and serve her god and her people."
Nayeli,3,Paladin,Human,15,12,13,8,10,14,39,Lawful Good,3,"A once trusted guardian and advisor of Duke Maldwyn of Daggerford, Nayeli Goldflower is now a paladin without a lord who wanders Toril on the hunt for devils and those who would summon and commune with the infernal. She worships Tyr, the god of justice, who has blessed her sword to seek out and destroy any infernal presence."
Jarlaxle,4,Rogue,Drow,10,18,13,16,11,14,245,Neutral Evil,4,"Jarlaxle is a flamboyant, swashbuckling drow who leads Bregan D'aerthe, a band of drow outcasts and renegades from Menzoberranzan. Jarlaxle secretly controls the northern city of Luskan from the shadows by manipulating the five High Captains who rule the city."
Calliope,5,Bard,Half-Elf,12,16,14,12,12,19,65,Chaotic Good,5,"Calliope was raised on a pirate ship, and yes, that's an excuse for her sometimes volatile behavior and colorful language. She'll sing you a song, but you better listen or she'll smash you with her lute. Calliope can't resist the lure of adventure or making new enemies, but it's her friends who serve as the family she never had."
Asharra,6,Wizard,Aarakocra,10,11,9,17,15,14,38,Lawful Neutral,6,"The elder of Kir Sabal, Asharra is a stern and honorable aarakocra wizard who looks over her flock and the safety of the Omu royal family."
Minsc,7,Ranger,Human,18,15,13,8,10,12,45,Chaotic Good,7,Minsc is a dim-witted but ferociously courageous ranger who saved Baldur's Gate and the surrounding area several times over the course of his adventures. He's accompanied by his stalwart companion Boo; a miniature giant space hamster.
Delina,8,Sorcerer,Elf,8,10,14,15,13,17,245,Chaotic Good,8,"Delina is a young sorceress (by elven standards) with an inquisitive mind and fearless personality. Her pale skin and hair may give off the initial impression of vulnerability, but she carries great strength within."
Makos,9,Warlock,Tiefling,11,10,14,14,8,18,56,Neutral Evil,9,"Makos grew up on the streets with a desire to rise above it all. He knows that his innate connection to infernal power is his key to achieving his goals, no matter the cost."
Tyril,10,Druid,Firbolg,18,15,15,13,18,13,75,Neutral Good,10,"Tyril grew up in the wilds around his home village as the apprentice to the spiritual leader. After an accident regarding his large stature, Tyril fled the village to become a sword for hire. His regret informs his transformations and he prefers to shape-shift into small mammals and rodents."
Jamilah,11,Barbarian,Human,18,13,17,10,15,14,35,True Neutral,11,"Jamilah is a Human Barbarian, played by actor (and part time DM) Deborah Ann Woll, and the second brand-new Force Grey character added this season. Shipwrecked as a young child, Jamilah washed up on the shores of Chult. Luckily, the people of this forbidding land took her in and raised her as one of their own. Having grown into a strong and confident young woman, she now longs to leave Chult and explore other lands, challenging anyone along her way to arm wrestling or thigh crushing contests of might."
Arkhan,12,Paladin,Dragonborn,20,14,14,10,12,18,40,Neutral Evil,12,"Arkhan the Cruel is a dragonborn oathbreaker paladin in the service of the five-headed dragon goddess Tiamat. Due to 'The Wreath of the Prism' that he wears around his neck, he has gained control of the vicious manticore Chango."
Hitch,13,Rogue,Human,11,18,12,13,15,17,29,Chaotic Good,8,"Hitch started off life on the wrong foot and the wrong side of the wagon tracks. Besides the Sword Coast, the only other place he's ever called home is Durpar in Southeast Faerûn, which has been conquered by goblinoids allied with Durpar's ruling merchant house. Now, he tries to keep two steps ahead of his shady past, avoiding run-ins with the Zhentarim and other nefarious acquaintances. With his quick wit and roguish charm, Hitch plans to somehow land on his feet, on a pile of gold, with a treasure map in each hand, but until then he needs all the friends he can get."
Stoki,14,Monk,Gnome,11,18,15,13,17,12,45,Lawful Neutral,4,"Born Stami Gackle, she fled her home after a terrible accident at a young age and joined a monastery of the Even Hand to study ki. An adept monk and extremely capable adventurer, her thoughtful approach to problems has earned her a reputation as an uncommonly stoic Rock Gnome."
Krond,15,Fighter,Half-Orc,16,12,14,16,13,9,42,Chaotic Neutral,6,"Born to an academic female human wizard who was researching an orc tribe and the vicious leader of said tribe, Krond has experience in both worlds. Raised as a fearsome warrior, he began focusing on the arcane arts after his mother was killed in a goblin raid. He carries a bonded warhammer named Unity."
Gromma,16,Druid,Tortle,14,10,18,12,17,13,80,Lawful Neutral,3,"Extremely elderly for a Tortle, Gromma Nander grew discontent with her secluded life after giving birth to her offspring. Once they were old enough to fend for themselves, she ventured back out into the world to learn as much as she could about the strange creatures that inhabit it. Gromma is a wise and inquisitive Tortle who is quick to friendship but slow to trust. She carries a pouch a smooth colored stones that she has collected on her journey and walks with the aid of a battle-worn spear."
Dhadius,17,Wizard,Human,8,12,10,18,9,11,57,Chaotic Neutral,5,"Dhadius is a mage of legendary status and acclaim (at least, in his own mind), who sees everyone else as intellectual worms. Being an egomaniac, he seeks out esoteric lore and rare magical secrets so he may know things that the 'common fools' do not. Dhadius hails from Luskan in the north, where he is a member of the Arcane Brotherhood, an infamous group of wizards. He joined them only recently and hasn't been taken as seriously by the others as he thinks he should be. He's determined to let is be known far and wide that he is a wizard to be respected and feared."
Drizzt,18,Ranger,Drow,10,19,14,12,14,11,75,Lawful Good,9,"Despite his increasing fame (or infamy) across the Sword Coast North as a drow who dwells on the surface, is deadly in battle, fights with great agility and two enchanted scimitars, and can call on an onyx panther figurine of wondrous power to bring a battle companion to his side, Drizzt Do’Urden remains an enigma. Thoughtful and sensitive to others, Drizzt holds himself to the highest ideals but does not expect the same of others. Ever alert for treachery and danger, he speaks little but is apt to be polite (if terse) in his dealings. A perfectionist who yearns to be accepted into places and groups and to make friends widely, Drizzt is haunted by the danger he brings to those he befriends thanks to the scrutiny of Lolth and his other foes (notably the demon Errtu and the human Artemis Entreri). Those he meets see his manner as grim."
Barrowin,19,Cleric,Dwarf,16,12,15,11,18,10,115,Lawful Good,10,"A proud daughter of Clan Undurr and a devout follower of Gorm Gulthyn, the dwarven god of vigilance and duty. She spent fifteen years in the city of Ironmaster, in Icewind Dale, overseeing and protecting her family's investment in the city’s lucrative mining operations. However, she saw little action and feared that her talents were being squandered. She has recently found a home within a budding organization called the Order of the Gauntlet, which vigilantly guards against the rise of evil in all its forms."
Regis,20,Rogue,Halfling,8,19,14,13,10,15,51,Chaotic Neutral,2,"As a poor urchin on the streets of Calimport, Regis quickly learned that survival often requires bending the rules in your favor. He fled to the north to avoid capture after stealing his former master's magical ruby pendant. Eventually, he found companionship amongst the Companions of the Hall, becoming one of Bruenor Battlehammer's most trusted confidants. Bruenor was the one who gifted Regis with the nickname 'Rumblebelly' due to the halfling's insatiable appetite. Regis would prefer nothing more than to relax in the sun with a full belly near his home in Ten-Towns and fish for knucklead trout, the source of all of his scrimshaw carvings. But when his friends need help, Regis is always there for them. He never sees himself as the hero, even though his true friends know better."
Birdsong,21,Bard,Tabaxi,9,18,12,13,11,17,26,Lawful Neutral,9,"Birdsong, a cunning young Tabaxi bard, learned to defend herself while enslaved by the Yuan-ti. Proficient in playing the lute, Birdsong discovered her potential as a bard when witnessing the effect her songs had on other slaves. After her escape, she became one of the greatest minstrels of Chult. She promised herself to, one day, get revenge on the Yuan-ti who destroyed her village."
Zorbu,22,Ranger,Gnome,8,17,14,12,16,13,325,Chaotic Good,12,"Zorbu grew up in a small village on the slopes of the mountains south of Yartar. He lived a typical gnomish childhood: tinkering with mechanical toys, pulling pranks on unsuspecting neighbors, and exploring the woodlands covering the mountains in the company of a local dwarf ranger, Galor Rockshield. One night an army of drow and their minions descended upon the village in force. Galor saved Zorbu's life, but many others were killed, including Zorbu's parents. From that day forth, Zorbu trained under Galor as a ranger, vowing revenge upon the drow and any who claim allegiance to them. Cunning and imaginative, Zorbu makes use of his tinkering skills to wield an impossibly large crossbow called Thunderbolt."
Strix,23,Sorcerer,Tiefling,10,12,14,16,11,18,82,Chaotic Good,11,"The Sorcerer known as Strix hails from Sigil, the City of Doors at the center of the multiverse. Very little is known of Strix's heritage, even to herself, but it was recently discovered that she was a powerful member of the Skizziks family, who long ago made a pact with Asmodeus, ruler of the Nine Hells, to become Tieflings. Strix is careful, suspicious, and paranoid. She assumes the worst in everyone and is always ready to run away or hide. She lacks basic manners and maintains poor personal hygiene, exemplified by the collection of filthy oddities she hoards within her robes. As a child, Strix witnessed a shadowy creature slaughter her friends at the bakery where she worked, but was spared for unknown reasons. Her survivor's guilt drives her to try and help those in need, no matter the personal cost."
Nrakk,24,Monk,Githzerai,13,17,15,12,19,11,41,Lawful Neutral,8,"Having watched your party's progress for many years from Limbo, the Great Githzera, Zaerith Menyar-Ag-Gith, has dispatched Nrakk to join your party on the Material Plane. Though his true motivations are unknown, Nrakk is a masterful Kensai monk whose kensei weapon Naginata is a force to be reckoned with on the battlefield. Reserved and aloof, Nrakk sometimes has a hard time interacting in with those he sees as his lessers, but he nevertheless seems committed to the party's cause."
Catti-brie,25,Fighter,Human,15,18,14,17,11,13,33,Chaotic Good,7,"Catti-brie is a kind, tolerant, and pragmatic warrior. She has spent much of her life adventuring with the legendary Companions of the Hall, accompanying Drizzt Do'Urden, Bruenor Battlehammer, Regis, and Wulfgar on numerous escapades. As the moral compass of the group, Catti-brie helps guide Drizzt and Wulfgar's into wise action through common sense and clear insight. She wields the legendary bow Taulmaril, which shoots silver arrows."
Evelyn,26,Paladin,Human,19,14,16,11,12,18,22,Neutral Good,6,"Caring, motherly, and endlessly optimistic, Evelyn has adventured across the realms as part of the Waffle Crew with Strix, Diath, and Paultin for many years. She's always first in battle, thanks to her flying boots, and will always take a hit to protect others. Short, yet tough, her devotion to Lathander has seen her through many perilous situations."
Champion27,27,Fighter,Shield Dwarf,15,10,14,8,13,12,252,Neutral Good,11,"Hailing from the Spine of the World, Bruenor is the leader of Clan Battlehammer. He is close friends with the celebrated drow Drizzt Do'Urden and the halfling Regis. Rounding out the 'Companions of the Hall' are his two adopted human children: Catti-Brie and Wulfgar."
